KEGG	line_number	Cluster	dendro_order	pathway
K08316	1862	2	817	K08316: ribosomal RNA small subunit methyltransferase D
K03637	1258	2	818	K03637: cyclic pyranopterin phosphate synthase [EC:4.1.99.18]
K09136	1903	2	819	K09136: hypothetical protein
K02474	858	2	820	K02474: UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
K12240	2104	2	821	K12240: pyochelin synthetase
K00666	208	2	822	K00666: fatty-acyl-CoA synthase
K07497	1788	2	823	K07497: putative transposase
K02650	901	2	824	K02650: type IV pilus assembly protein PilA
K08310	1860	2	825	K08310: dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
K11069	2051	2	826	K11069: spermidine/putrescine transport system substrate-binding protein
K03594	1231	2	827	K03594: bacterioferritin [EC:1.16.3.1]
K09771	1938	2	828	K09771: hypothetical protein
K00324	102	2	829	K00324: NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K00325	103	2	830	K00325: NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K07113	1696	2	831	K07113: NO_NAME
K09516	1916	2	832	K09516: all-trans-retinol 13,14-reductase [EC:1.3.99.23]
K06177	1546	2	833	K06177: ribosomal large subunit pseudouridine synthase A
K03752	1320	2	834	K03752: molybdopterin-guanine dinucleotide biosynthesis protein A
K09892	1973	2	835	K09892: hypothetical protein
K00244	83	2	836	K00244: fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K11070	2052	2	837	K11070: spermidine/putrescine transport system permease protein
K13694	2152	2	838	K13694: NO_NAME
K03719	1305	2	839	K03719: Lrp/AsnC family transcriptional regulator, leucine-responsive
K03548	1194	2	840	K03548: putative permease
K00245	84	2	841	K00245: fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K02197	768	2	842	K02197: cytochrome c-type biogenesis protein CcmE
K05802	1493	2	843	K05802: potassium efflux system protein KefA
K02195	767	2	844	K02195: heme exporter protein C
K06076	1535	2	845	K06076: long-chain fatty acid transport protein
K03814	1351	2	846	K03814: monofunctional biosynthetic peptidoglycan transglycosylase [EC:2.4.1.-]
K07019	1651	2	847	K07019: NO_NAME
K09181	1913	2	848	K09181: hypothetical protein
K21936	2433	2	849	K21936: NO_NAME
K10778	2036	2	850	K10778: AraC family transcriptional regulator, regulatory protein of
K08984	1883	2	851	K08984: putative membrane protein
K02674	920	2	852	K02674: type IV pilus assembly protein PilY1
K13652	2149	2	853	K13652: NO_NAME
K06320	1575	2	854	K06320: spore maturation protein CgeB
K06929	1614	2	855	K06929: NO_NAME
K02557	887	2	856	K02557: chemotaxis protein MotB
K02194	766	2	857	K02194: heme exporter protein B
K00127	50	2	858	K00127: formate dehydrogenase subunit gamma
K05772	1487	2	859	K05772: tungstate transport system substrate-binding protein
K00124	49	2	860	K00124: formate dehydrogenase iron-sulfur subunit
K09729	1928	2	861	K09729: hypothetical protein
K02411	827	2	862	K02411: flagellar assembly protein FliH
K18480	2302	2	863	K18480: NO_NAME
K16092	2230	2	864	K16092: NO_NAME
K08084	1841	2	865	K08084: type IV fimbrial biogenesis protein FimT
K06215	1567	2	866	K06215: pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
K03616	1246	2	867	K03616: electron transport complex protein RnfB
K03453	1155	2	868	K03453: bile acid:Na+ symporter, BASS family
K03615	1245	2	869	K03615: electron transport complex protein RnfC
K09769	1937	2	870	K09769: hypothetical protein
K03617	1247	2	871	K03617: electron transport complex protein RnfA
K03613	1243	2	872	K03613: electron transport complex protein RnfE
K06213	1566	2	873	K06213: magnesium transporter
K03612	1242	2	874	K03612: electron transport complex protein RnfG
K02119	751	2	875	K02119: V/A-type H+/Na+-transporting ATPase subunit C
K02122	754	2	876	K02122: V/A-type H+/Na+-transporting ATPase subunit F
K01646	501	2	877	K01646: citrate lyase subunit gamma (acyl carrier protein)
K03708	1300	2	878	K03708: transcriptional regulator CtsR
K02121	753	2	879	K02121: V/A-type H+/Na+-transporting ATPase subunit E
K02107	739	2	880	K02107: V/A-type H+/Na+-transporting ATPase subunit G/H
K10672	2029	2	881	K10672: betaine reductase
K07172	1716	2	882	K07172: NO_NAME
K01679	516	2	883	K01679: fumarate hydratase, class II [EC:4.2.1.2]
K01961	652	2	884	K01961: acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
K22132	2438	2	885	K22132: NO_NAME
K01091	358	2	886	K01091: phosphoglycolate phosphatase [EC:3.1.3.18]
K02456	849	2	887	K02456: general secretion pathway protein G
K03315	1116	2	888	K03315: Na+:H+ antiporter, NhaC family
K03561	1206	2	889	K03561: biopolymer transport protein ExbB
K03559	1204	2	890	K03559: biopolymer transport protein ExbD
K01470	439	2	891	K01470: creatinine amidohydrolase [EC:3.5.2.10]
K05788	1489	2	892	K05788: integration host factor subunit beta
K09889	1972	2	893	K09889: hypothetical protein
K03585	1223	2	894	K03585: membrane fusion protein, multidrug efflux system
K00748	220	2	895	K00748: lipid-A-disaccharide synthase [EC:2.4.1.182]
K04087	1397	2	896	K04087: membrane protease subunit HflC
K09774	1941	2	897	K09774: lipopolysaccharide export system protein LptA
K07278	1741	2	898	K07278: outer membrane protein
K07323	1751	2	899	K07323: phospholipid transport system substrate-binding protein
K02427	835	2	900	K02427: cell division protein methyltransferase FtsJ
K05589	1478	2	901	K05589: cell division protein FtsB
K02663	912	2	902	K02663: type IV pilus assembly protein PilN
K02665	914	2	903	K02665: type IV pilus assembly protein PilP
K02664	913	2	904	K02664: type IV pilus assembly protein PilO
K03608	1238	2	905	K03608: cell division topological specificity factor
K21420	2415	2	906	K21420: NO_NAME
K09928	1976	2	907	K09928: hypothetical protein
K22452	2452	2	908	K22452: NO_NAME
K03926	1365	2	909	K03926: periplasmic divalent cation tolerance protein
K01095	360	2	910	K01095: phosphatidylglycerophosphatase A [EC:3.1.3.27]
K04084	1396	2	911	K04084: thiol:disulfide interchange protein DsbD
K13893	2162	2	912	K13893: microcin C transport system substrate-binding protein
K18139	2296	2	913	K18139: outer membrane protein, multidrug efflux system
K13896	2165	2	914	K13896: microcin C transport system ATP-binding protein
K02533	879	2	915	K02533: tRNA/rRNA methyltransferase
K06142	1539	2	916	K06142: outer membrane protein
K03610	1240	2	917	K03610: septum site-determining protein MinC
K13894	2163	2	918	K13894: microcin C transport system permease protein
K13895	2164	2	919	K13895: microcin C transport system permease protein
K03646	1265	2	920	K03646: colicin import membrane protein
K15738	2213	2	921	K15738: NO_NAME
K21563	2423	2	922	K21563: NO_NAME
K02455	848	2	923	K02455: general secretion pathway protein F
K02460	853	2	924	K02460: general secretion pathway protein K
K03640	1260	2	925	K03640: peptidoglycan-associated lipoprotein
K03562	1207	2	926	K03562: biopolymer transport protein TolQ
K03560	1205	2	927	K03560: biopolymer transport protein TolR
K02666	915	2	928	K02666: type IV pilus assembly protein PilQ
K11085	2055	2	929	K11085: ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
K17103	2270	2	930	K17103: CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K02453	846	2	931	K02453: general secretion pathway protein D
K04088	1398	2	932	K04088: membrane protease subunit HflK
K04744	1424	2	933	K04744: LPS-assembly protein
K06894	1595	2	934	K06894: NO_NAME
K03771	1328	2	935	K03771: peptidyl-prolyl cis-trans isomerase SurA
K02527	876	2	936	K02527: 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K05367	1457	2	937	K05367: penicillin-binding protein 1C [EC:2.4.1.-]
K06041	1531	2	938	K06041: arabinose-5-phosphate isomerase [EC:5.3.1.13]
K03667	1277	2	939	K03667: ATP-dependent HslUV protease ATP-binding subunit HslU
K01419	424	2	940	K01419: ATP-dependent HslUV protease, peptidase subunit HslV
K06204	1563	2	941	K06204: DnaK suppressor protein
K03642	1262	2	942	K03642: rare lipoprotein A
K04773	1441	2	943	K04773: protease IV
K00208	74	2	944	K00208: enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K03694	1288	2	945	K03694: ATP-dependent Clp protease ATP-binding subunit ClpA
K00950	311	2	946	K00950: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K03394	1135	2	947	K03394: precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
K00573	171	2	948	K00573: protein-L-isoaspartate(D-aspartate) O-methyltransferase
K02067	728	2	949	K02067: phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K00912	289	2	950	K00912: tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K09810	1960	2	951	K09810: lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]
K03832	1356	2	952	K03832: periplasmic protein TonB
K09808	1959	2	953	K09808: lipoprotein-releasing system permease protein
K04754	1428	2	954	K04754: lipoprotein
K03634	1255	2	955	K03634: outer membrane lipoproteins carrier protein
K03770	1327	2	956	K03770: peptidyl-prolyl cis-trans isomerase D
K09800	1956	2	957	K09800: hypothetical protein
K02065	726	2	958	K02065: phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K02066	727	2	959	K02066: phospholipid/cholesterol/gamma-HCH transport system permease protein
K07277	1740	2	960	K07277: outer membrane protein
K18138	2295	2	961	K18138: multidrug efflux pump
K03841	1359	2	962	K03841: fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K00647	198	2	963	K00647: 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K03609	1239	2	964	K03609: septum site-determining protein MinD
K11720	2087	2	965	K11720: lipopolysaccharide export system permease protein
K03089	1052	2	966	K03089: RNA polymerase sigma-32 factor
K00979	328	2	967	K00979: 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K03271	1095	2	968	K03271: D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K14415	2182	2	969	K14415: NO_NAME
K01007	341	2	970	K01007: pyruvate, water dikinase [EC:2.7.9.2]
K03186	1079	2	971	K03186: flavin prenyltransferase [EC:2.5.1.129]
K15724	2212	2	972	K15724: NO_NAME
K07792	1834	2	973	K07792: anaerobic C4-dicarboxylate transporter DcuB
K01682	518	2	974	K01682: aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
K02621	898	2	975	K02621: topoisomerase IV subunit A
K08218	1847	2	976	K08218: MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG
K03474	1162	2	977	K03474: pyridoxine 5-phosphate synthase [EC:2.6.99.2]
K00901	288	2	978	K00901: diacylglycerol kinase (ATP) [EC:2.7.1.107]
K02189	762	2	979	K02189: cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K01297	414	2	980	K01297: muramoyltetrapeptide carboxypeptidase
K07102	1691	2	981	K07102: anomeric MurNAc/GlcNAc kinase [EC:2.7.1.-]
K02169	760	2	982	K02169: malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K05805	1494	2	983	K05805: CreA protein
K02847	967	2	984	K02847: O-antigen ligase [EC:2.4.1.-]
K15792	2218	2	985	K15792: murE/murF fusion protein [EC:6.3.2.13 6.3.2.10]
K06596	1578	2	986	K06596: chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
K02487	861	2	987	K02487: type IV pili sensor histidine kinase and response regulator
K02558	888	2	988	K02558: UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate
K13888	2161	2	989	K13888: NO_NAME
K09795	1953	2	990	K09795: hypothetical protein
K02459	852	2	991	K02459: general secretion pathway protein J
K02461	854	2	992	K02461: general secretion pathway protein L
K02457	850	2	993	K02457: general secretion pathway protein H
K02458	851	2	994	K02458: general secretion pathway protein I
K02657	907	2	995	K02657: twitching motility two-component system response regulator PilG
K01965	655	2	996	K01965: propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
K02660	910	2	997	K02660: twitching motility protein PilJ
K02658	908	2	998	K02658: twitching motility two-component system response regulator PilH
K02659	909	2	999	K02659: twitching motility protein PilI
K03774	1330	2	1000	K03774: FKBP-type peptidyl-prolyl cis-trans isomerase SlpA
K00097	38	2	1001	K00097: 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K18997	2321	2	1002	K18997: NO_NAME
K18918	2314	2	1003	K18918: NO_NAME
K00537	161	2	1004	K00537: arsenate reductase
K01153	372	2	1005	K01153: type I restriction enzyme, R subunit
K07452	1771	2	1006	K07452: 5-methylcytosine-specific restriction enzyme B
K03215	1083	2	1007	K03215: RNA methyltransferase, TrmA family
K09951	1984	2	1008	K09951: CRISPR-associated protein Cas2
K15342	2196	2	1009	K15342: NO_NAME
K07012	1647	2	1010	K07012: NO_NAME
K07052	1666	2	1011	K07052: NO_NAME
K03734	1311	2	1012	K03734: thiamine biosynthesis lipoprotein
K05595	1480	2	1013	K05595: multiple antibiotic resistance protein
K14445	2184	2	1014	K14445: NO_NAME
K03521	1179	2	1015	K03521: electron transfer flavoprotein beta subunit
K03522	1180	2	1016	K03522: electron transfer flavoprotein alpha subunit
K03587	1225	2	1017	K03587: cell division protein FtsI (penicillin-binding protein 3)
K00941	304	2	1018	K00941: hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
K00700	214	2	1019	K00700: 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
K09811	1961	2	1020	K09811: cell division transport system permease protein
K06901	1599	2	1021	K06901: putative MFS transporter, AGZA family, xanthine/uracil permease
K01934	637	2	1022	K01934: 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
K01952	646	2	1023	K01952: phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
K00764	229	2	1024	K00764: amidophosphoribosyltransferase [EC:2.4.2.14]
K01915	624	2	1025	K01915: glutamine synthetase [EC:6.3.1.2]
K03306	1109	2	1026	K03306: inorganic phosphate transporter, PiT family
K00616	188	2	1027	K00616: transaldolase [EC:2.2.1.2]
K06966	1627	2	1028	K06966: NO_NAME
K02342	801	2	1029	K02342: DNA polymerase III subunit epsilon [EC:2.7.7.7]
K01433	430	2	1030	K01433: formyltetrahydrofolate deformylase [EC:3.5.1.10]
K07259	1735	2	1031	K07259: D-alanyl-D-alanine carboxypeptidase / D-alanyl-D-alanine-endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K00241	81	2	1032	K00241: succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K01897	618	2	1033	K01897: long-chain acyl-CoA synthetase [EC:6.2.1.3]
K03924	1363	2	1034	K03924: MoxR-like ATPase
K03820	1353	2	1035	K03820: apolipoprotein N-acyltransferase
K03310	1112	2	1036	K03310: alanine or glycine:cation symporter, AGCS family
K01768	555	2	1037	K01768: adenylate cyclase [EC:4.6.1.1]
K01658	507	2	1038	K01658: anthranilate synthase component II [EC:4.1.3.27]
K07220	1725	2	1039	K07220: hypothetical protein
K14170	2176	2	1040	K14170: chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
K03577	1217	2	1041	K03577: TetR/AcrR family transcriptional regulator, acrAB operon repressor
K03688	1287	2	1042	K03688: ubiquinone biosynthesis protein
K03305	1108	2	1043	K03305: proton-dependent oligopeptide transporter, POT family
K03319	1118	2	1044	K03319: divalent anion:Na+ symporter, DASS family
K07316	1748	2	1045	K07316: adenine-specific DNA-methyltransferase
K01156	374	2	1046	K01156: type III restriction enzyme
K01057	352	2	1047	K01057: 6-phosphogluconolactonase [EC:3.1.1.31]
K01625	492	2	1048	K01625: 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
K08676	1870	2	1049	K08676: tricorn protease
K01816	579	2	1050	K01816: hydroxypyruvate isomerase [EC:5.3.1.22]
K16783	2241	2	1051	K16783: biotin transport system permease protein
K21400	2413	2	1052	K21400: NO_NAME
K05895	1515	2	1053	K05895: precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K04031	1378	2	1054	K04031: ethanolamine utilization protein EutS
K13922	2167	2	1055	K13922: propionaldehyde dehydrogenase [EC:1.2.1.87]
K08281	1850	2	1056	K08281: nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K07334	1752	2	1057	K07334: proteic killer suppression protein
K07106	1693	2	1058	K07106: N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
K01142	369	2	1059	K01142: exodeoxyribonuclease III [EC:3.1.11.2]
K00963	318	2	1060	K00963: UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K03799	1346	2	1061	K03799: heat shock protein HtpX
K00145	56	2	1062	K00145: N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00930	297	2	1063	K00930: acetylglutamate kinase [EC:2.7.2.8]
K01845	590	2	1064	K01845: glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K01814	578	2	1065	K01814: phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
K00620	190	2	1066	K00620: glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
K00821	257	2	1067	K00821: acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
K01817	580	2	1068	K01817: phosphoribosylanthranilate isomerase [EC:5.3.1.24]
K00817	254	2	1069	K00817: histidinol-phosphate aminotransferase [EC:2.6.1.9]
K02825	959	2	1070	K02825: pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K14761	2192	2	1071	K14761: NO_NAME
K06199	1560	2	1072	K06199: CrcB protein
K01207	387	2	1073	K01207: beta-N-acetylhexosaminidase [EC:3.2.1.52]
K00989	333	2	1074	K00989: ribonuclease PH
K03578	1218	2	1075	K03578: ATP-dependent helicase HrpA
K00766	231	2	1076	K00766: anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K01609	483	2	1077	K01609: indole-3-glycerol phosphate synthase [EC:4.1.1.48]
K01626	493	2	1078	K01626: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K01657	506	2	1079	K01657: anthranilate synthase component I [EC:4.1.3.27]
K00013	6	2	1080	K00013: histidinol dehydrogenase [EC:1.1.1.23]
K02914	998	2	1081	K02914: large subunit ribosomal protein L34
K02963	1019	2	1082	K02963: small subunit ribosomal protein S18
K03544	1190	2	1083	K03544: ATP-dependent Clp protease ATP-binding subunit ClpX
K03043	1036	2	1084	K03043: DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K01956	649	2	1085	K01956: carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K01496	452	2	1086	K01496: phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01693	522	2	1087	K01693: imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
K01933	636	2	1088	K01933: phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
K01923	630	2	1089	K01923: phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
K00765	230	2	1090	K00765: ATP phosphoribosyltransferase [EC:2.4.2.17]
K00088	35	2	1091	K00088: IMP dehydrogenase [EC:1.1.1.205]
K06958	1623	2	1092	K06958: NO_NAME
K03216	1084	2	1093	K03216: RNA methyltransferase, TrmH family, group 2
K00602	179	2	1094	K00602: phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K02113	745	2	1095	K02113: F-type H+-transporting ATPase subunit delta
K01810	576	2	1096	K01810: glucose-6-phosphate isomerase [EC:5.3.1.9]
K02563	889	2	1097	K02563: UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K01696	524	2	1098	K01696: tryptophan synthase beta chain [EC:4.2.1.20]
K09748	1930	2	1099	K09748: hypothetical protein
K00075	32	2	1100	K00075: UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K04042	1380	2	1101	K04042: bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
K00057	24	2	1102	K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K03060	1039	2	1103	K03060: DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K01256	401	2	1104	K01256: aminopeptidase N [EC:3.4.11.2]
K09760	1931	2	1105	K09760: DNA recombination protein RmuC
K13288	2133	2	1106	K13288: oligoribonuclease [EC:3.1.-.-]
K03785	1337	2	1107	K03785: 3-dehydroquinate dehydratase I [EC:4.2.1.10]
K05685	1485	2	1108	K05685: macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]
K01772	557	2	1109	K01772: ferrochelatase [EC:4.99.1.1]
K00330	105	2	1110	K00330: NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]
K00342	117	2	1111	K00342: NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]
K00341	116	2	1112	K00341: NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K00332	107	2	1113	K00332: NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]
K00339	114	2	1114	K00339: NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]
K00333	108	2	1115	K00333: NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]
K00337	112	2	1116	K00337: NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]
K00331	106	2	1117	K00331: NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]
K00338	113	2	1118	K00338: NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K00297	99	2	1119	K00297: methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K01749	547	2	1120	K01749: hydroxymethylbilane synthase [EC:2.5.1.61]
K03823	1355	2	1121	K03823: phosphinothricin acetyltransferase [EC:2.3.1.183]
K09858	1969	2	1122	K09858: SEC-C motif domain protein
K03652	1269	2	1123	K03652: DNA-3-methyladenine glycosylase [EC:3.2.2.21]
K03801	1348	2	1124	K03801: lipoyl(octanoyl) transferase [EC:2.3.1.181]
K18928	2315	2	1125	K18928: NO_NAME
K00658	205	2	1126	K00658: 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
K00164	63	2	1127	K00164: 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00163	62	2	1128	K00163: pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K03636	1257	2	1129	K03636: molybdopterin synthase sulfur carrier subunit
K13821	2159	2	1130	K13821: RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]
K16264	2236	2	1131	K16264: NO_NAME
K03152	1070	2	1132	K03152: 4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis
K04761	1435	2	1133	K04761: LysR family transcriptional regulator, hydrogen peroxide-inducible
K03654	1270	2	1134	K03654: ATP-dependent DNA helicase RecQ [EC:3.6.4.12]
K01770	556	2	1135	K01770: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
K00287	97	2	1136	K00287: dihydrofolate reductase [EC:1.5.1.3]
K07173	1717	2	1137	K07173: S-ribosylhomocysteine lyase [EC:4.4.1.21]
K00991	335	2	1138	K00991: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K01243	396	2	1139	K01243: adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K03484	1164	2	1140	K03484: LacI family transcriptional regulator, sucrose operon repressor
K03402	1136	2	1141	K03402: transcriptional regulator of arginine metabolism
K09772	1939	2	1142	K09772: hypothetical protein
K09762	1933	2	1143	K09762: hypothetical protein
K01588	475	2	1144	K01588: 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
K01523	458	2	1145	K01523: phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]
K00759	224	2	1146	K00759: adenine phosphoribosyltransferase [EC:2.4.2.7]
K02501	868	2	1147	K02501: glutamine amidotransferase [EC:2.4.2.-]
K00549	163	2	1148	K00549: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
K03431	1150	2	1149	K03431: phosphoglucosamine mutase [EC:5.4.2.10]
K03648	1267	2	1150	K03648: uracil-DNA glycosylase [EC:3.2.2.27]
K03439	1154	2	1151	K03439: tRNA (guanine-N7-)-methyltransferase
K01495	451	2	1152	K01495: GTP cyclohydrolase I [EC:3.5.4.16]
K00560	166	2	1153	K00560: thymidylate synthase [EC:2.1.1.45]
K01507	454	2	1154	K01507: inorganic pyrophosphatase [EC:3.6.1.1]
K00526	158	2	1155	K00526: ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K00005	2	2	1156	K00005: glycerol dehydrogenase [EC:1.1.1.6]
K01468	438	2	1157	K01468: imidazolonepropionase [EC:3.5.2.7]
K01745	546	2	1158	K01745: histidine ammonia-lyase [EC:4.3.1.3]
K14540	2185	2	1159	K14540: NO_NAME
K03706	1299	2	1160	K03706: transcriptional pleiotropic repressor
K03274	1098	2	1161	K03274: ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K13789	2156	2	1162	K13789: geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K03327	1122	2	1163	K03327: multidrug resistance protein, MATE family
K01886	611	2	1164	K01886: glutaminyl-tRNA synthetase [EC:6.1.1.18]
K07091	1686	2	1165	K07091: lipopolysaccharide export system permease protein
K00677	210	2	1166	K00677: UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K01627	494	2	1167	K01627: 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K02535	880	2	1168	K02535: UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K06861	1582	2	1169	K06861: lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
K04764	1438	2	1170	K04764: integration host factor subunit alpha
K03650	1268	2	1171	K03650: tRNA modification GTPase
K03530	1187	2	1172	K03530: DNA-binding protein HU-beta
K00783	236	2	1173	K00783: hypothetical protein
K01246	397	2	1174	K01246: DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
K03605	1237	2	1175	K03605: hydrogenase 1 maturation protease
K03583	1221	2	1176	K03583: exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
K03581	1219	2	1177	K03581: exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
K01878	605	2	1178	K01878: glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
K02837	963	2	1179	K02837: peptide chain release factor RF-3
K01879	606	2	1180	K01879: glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K03179	1076	2	1181	K03179: 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K02622	899	2	1182	K02622: topoisomerase IV subunit B
K07399	1761	2	1183	K07399: cytochrome c biogenesis protein
K18118	2294	2	1184	K18118: succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]
K01966	656	2	1185	K01966: propionyl-CoA carboxylase beta chain [EC:6.4.1.3]
K00798	247	2	1186	K00798: cob(I)alamin adenosyltransferase [EC:2.5.1.17]
K07588	1803	2	1187	K07588: LAO/AO transport system kinase
K00684	211	2	1188	K00684: leucyl/phenylalanyl-tRNA--protein transferase
K02226	773	2	1189	K02226: alpha-ribazole phosphatase [EC:3.1.3.73]
